Name,Notes,Assignee,Status,AI assist
0-1700831863411,2x a year touchpoints with other linemanagers/ directors,,3x3,Meeting schedule
0-1700831887662,Data Storage Challenge (where to + how to handle),,3x3,Workshop agenda
0-1700831902200,Dig. Roadmap to be present so that a high-level overview can be given to all line managers,,3x3,Workshop agenda
0-1700831931312,Airtable Challenges,,3x3,Workshop agenda
0-1700831969001,Collaboration with Service Desk if helpful + fitting,,3x3,Workshop Note
0-1700832063264,"Dig. Roadmap incl. Value Chain focus, potentials for HSE",,3x3,Workshop agenda
0-1700832083563,IT/OT more closely in connection also with improvements/innovation in HSE department,,3x3,Workshop agenda
0-1700832149756,Guidance &amp; Support on how to work with dig. products/handle data,,3x3,Workshop agenda
0-1700832169986,Frank Scholtka,,3x3,Name
0-1700834490597,Don't take business decision,,3x3,Reminder
1-1700834490597,I record what the business does and appear when the FID has been taken,,3x3,Operations Management
2-1700834490597,After the FID the money gets spend,,3x3,Finance
3-1700834490597,Digital Archive,,3x3,Technology
0-1700834498182,I am informed via the directors round. Last 12 months no updates,,3x3,Meeting Note
1-1700834498182,DigiRES digital roadmap showed at directors roundDigiSteerco,,3x3,Meeting agenda
2-1700834498182,Digital initiatives is not relevant to Accounting ,,3x3,Workshop feedback
3-1700834498182,Digital Archive is not implemented properly across the business,,3x3,Operations Management
0-1700834506475,Westpac and SAP systems don't speak to eachother,,3x3,Technology
1-1700834506475,Every 6 months,,3x3,Schedule
2-1700834506475,OPEA System Landmap and what we plan to do to each ,,3x3,Operations Plan
3-1700834506475,I want to see if any changes impact my team,,3x3,Workshop agenda
0-1700834512563,Inflexible wrt RWE standards from an IT perspective,,3x3,Workshop notes
1-1700834512563,"Some dig. tools, but generally no",,3x3,Workshop feedback
0-1700834527651,Training concept is somewhat limited,,3x3,Feedback
1-1700834527651,"No, we don't have the digital skills and would look to IT for help",,3x3,Workshop Note
2-1700834527651,Training for us is an AG topic ,,3x3,Workshop
3-1700834527651,SAP Successfactors is difficult to handle,,3x3,Work-related issue
0-1700835386621,embedded in operational systems,,3x3,Operations Management
0-1700836167422,A regular overview of what IT is doing,,3x3,Meeting agenda
1-1700836953308,accoounting looped in for approval,,3x3,Work process
0-1701069187002,Tools are not the issue but change management is ,,3x3,Workshop Note
1-1701069187002,Questionnaire started on premise that there was a dig. roadmap,,3x3,Workshop agenda
2-1701069187002,"Interaction with old digital roadmap (10 initiatives, old PPT in QPD) was not much, was not very relevant",,3x3,Feedback
3-1701069187002,"OPS: 500 FTEs, 12 countries, very decentralized",,3x3,Operations Management
4-1701069187002,Pipeline &amp; Portfolio Mgmt: Development OPEA,,3x3,Workshop agenda
7-1701069187002,"We have 70% project costs external. We follow the costs from the start, part of FID, construction, takeover etc. In all phases, we mirror the functions and mirror 3rd partx demand. ",,3x3,Operations Management
0-1701069201465,"Good contact with other depts. interested in tools (Construction, OPS; enabling functions, etc.)",,3x3,Workshop feedback
1-1701069201465,Business contact (Project Mgmt Office for Development),,3x3,Contact Information
2-1701069201465," Green OS, Cosmos, DigiRES, etc. ",,3x3,Technology
3-1701069201465,,,3x3,
4-1701069201465,Central Hub,,3x3,Workshop agenda
5-1701069201465,,,3x3,
9-1701069201465,Digital Developer,,3x3,Job Title
0-1701069205714,Reactive Approach to what Board agrees on (no why?),,3x3,Operations Management
1-1701069205714,Currently Top Down ,,3x3,Status Update
10-1701069205714,"Overall vision/goal should be visible/transparent to everyone, not every route must be visible to everyone",,3x3,Workshop Note
2-1701069205714,Tools work very much separately - not within ethos of a roadmap,,3x3,Workshop feedback
3-1701069205714,every single DMF project should be placed along digital roadmap path ,,3x3,Strategy
4-1701069205714,Goals/Objectives not clear on dig. ,,3x3,Workshop feedback
5-1701069205714,"They're always mapping back (we are just not aware of the bigger picture) - if mapping is not possible, we should not do it ",,3x3,Workshop Note
6-1701069205714,DigiSteerCo is the forum to make aware,,3x3,Meeting agenda
7-1701069205714,"Awareness: Lot of good intent, as along as you are AWARE that an initiative is perceived to have an impact",,3x3,Workshop feedback
8-1701069205714,Exchange with Directors/Directors Meeting (word-of-mouth) ,,3x3,Meeting agenda
9-1701069205714,Fragmented approach on goals/tools/initiatives,,3x3,Strategy
1-1701069209318,"Dig. Roadmap: Coordination, Vision (high-level)",,3x3,Workshop agenda
2-1701069209318,"Need to think what info we want to get out of the data.E.g. COSMOS: Nobody thought about: What info do we need in con phase, and what do we need in Ops phase, so that in a few years, a user can make queries n specific contractual / legal requirements",,3x3,Operations Management
3-1701069209318,chatbots (AI) could be leveraged.follow the latest developments and then make aware of possible value cases (be pushy).,,3x3,Strategy
7-1701069209318,User centricity E2E process is lacking,,3x3,Operations Management
0-1701069219779,"Generally most tools are self-explanatory/intuitive, however needs basic training for people to work with",,3x3,Training/Instructions
1-1701069219779,Personally: digital skilled/savy,,3x3,Personal development
10-1701069219779,DigiRES video training + user guides,,3x3,Training
2-1701069219779,"Cosmos: Digital Archive &amp; Doc Mgmt System -Training has been rolled out, user guides, etc. ",,3x3,Workshop
3-1701069219779,Delivering training for Dev on dig. Archive (SPOC),,3x3,Workshop agenda
4-1701069219779,PO Training,,3x3,Workshop
5-1701069219779,"Initial Kick-Off, Guidance (monthly onboarding sessions)",,3x3,Workshop agenda
6-1701069219779,DigiRES - quality checks; Dig. Archive - quality check meant to take place (not conducted); UDP &amp; ISA reactive  ,,3x3,Operations Management
7-1701069219779,Fundamentals: GreenOS - maybe necessary for F2F trainigs/change agents,,3x3,Workshop notes
8-1701069219779,"Dig. archive, DigiRES, UDP, ISA - 4 parts of training ",,3x3,Training
9-1701069219779,Weekly tech meeting,,3x3,Meeting agenda
0-1701069224890,"Do not use COSMOS (not set up for documents used by Bethan's team, normally use Sharepoint), e.g. reference documents (ISA template, etc.), guidelines (could be incorporated within COSMOS)",,3x3,Workshop instructions
1-1701069224890,DigiRES (reporting purposes),,3x3,Operations Manager
2-1701069224890,Data quality issue wrt DigiRES,,3x3,Operations Manager
3-1701069224890,Sharepoint not ideal for sharing docs outside of team (but within RWE),,3x3,Technology
4-1701069224890,Dig. archive &amp; Doc Mgmt in Cosmos mostly used for projects,,3x3,Workshop notes
5-1701069224890,SAP,,3x3,Technology
6-1701069224890,"COSMOS is nt connected to SAP, so that akes search also more difficult",,3x3,Technology
7-1701069224890,"They are not connected, multiple data entries lead to inefficiencies.",,3x3,Operations Management
0-1701069231648,Enabling functions (e.g engineering),,3x3,Workshop agenda
1-1701069231648,"Direct interaction, building relationships",,3x3,Workshop prompt
10-1701069231648,No knowledge about BIM/BP role,,3x3,Training/Development
11-1701069231648,"We are on a frozen zone: begfinning of the year, there was an info overload, now there is hardly any comms",,3x3,Workplace communication
2-1701069231648,Original objective should originate in business and be owned by business - comms should be within business,,3x3,Business Operations
3-1701069231648,Streamline communication: Clear objective + scope + Dev + continuous improvement + consultation with business + rollout plan,,3x3,Operations Management
4-1701069231648,IT/OT lists of tools being developed (DMA) - not very well communicated,,3x3,Operations Management
5-1701069231648,Unclear roles &amp; responsibilties,,3x3,Workshop feedback
6-1701069231648,"Central communication is kexy, but not oo much in detail for each initiative on director level",,3x3,Workshop feedback
7-1701069231648,"lots of changes, no clear roadmap within team/dept.",,3x3,Feedback
8-1701069231648,Resource Dilemma: Should the best people work on business projects vs. on digital projects?,,3x3,Workshop discussion prompt
9-1701069231648,Not approporiate coordination between ITOT and business,,3x3,Operations Management
0-1701069239216,Octopus (to some extent),,3x3,Animal
1-1701069239216,"FID, COD - origins DigiRES",,3x3,Workshop agenda
10-1701069239216,No KPIs/measure for most dig. initiatives,,3x3,Operations Management
2-1701069239216,"Spend, Contract, Performance data ",,3x3,Operations Management
3-1701069239216,Anything we need to monitor the supply from 3rd parties,,3x3,Operations Management
4-1701069239216,2 out of 10,,3x3,Feedback
5-1701069239216,Basic fundamentals need to be put in place (e.g. also focus on OT data),,3x3,Workshop Note
7-1701069239216,Hard to measure projects that directly affect people + their efficiency,,3x3,Operations Management
9-1701069239216,Landscape when looking how data flows does not fit,,3x3,Workshop feedback
0-1701069252163,Change fatigue,,3x3,Workshop feedback
1-1701069252163,"Resistance from middle mgmt (team leads, country heads, Directors)",,3x3,Workshop notes
2-1701069252163,no central place/location where information is being stored,,3x3,Operations Management
4-1701069252163,10-11 different countries doing things in different ways,,3x3,Workshop
9-1701069252163,"Change Management Theory, rather than uncoordinated way; answering what &amp; why &amp; consequences that would happen if we do not change",,3x3,Workshop notes
0-1701069260914,Lack of change management,,3x3,Operations Management
1-1701069260914,Lack of recognition,,3x3,Employee feedback
2-1701069260914,Sub Dig. Roadmap for Dig. Solutions: Scalability  ITOT Operations (PACE)  Cloudification (Cloud@RES)  In-Source  Projectmanagers  SLA  DMS OPEA  Standard Development Process/Data  Dig Sol collaboration with Data Team  CRONOS  NRT  Sec Cyber (Ciso Strategy to implement)  Balance External/Internals,,3x3,Workshop Agenda
3-1701069260914,"Anchor ownership within business (but not business transformation, but owners in every part of VC)",,3x3,Strategy
4-1701069260914,While enormous growth targets are in place,,3x3,Strategy
5-1701069260914,Do not take accountability away from people; BT can give framework but needs to be filled by people itself; BT is facilitating but not owning ,,3x3,Workshop feedback
9-1701069260914,"No recognition of time needed to implement tools, disruptions due to change,",,3x3,Operations Management
0-1701069265857,Chris Gainey,,3x3,Name
1-1701069265857,Timo Raethjens,,3x3,Name
6-1701069265857,"Procurement is a global hub. Michael Veeser has a stratgic team, responsible for tools, systems etc. When it comes to digitalizing the procurement processes, it might be worthwile to central procurement organization",,3x3,Strategy
7-1701069265857,"De Rouck, Constanze",,3x3,Name
8-1701069265857,Michael Veeser,,3x3,Name
0-1701082403436,MyFutura,,3x3,Brand
0-1701082404381,Supplier Qualification System (SLC),,3x3,Workshop Note
0-1701082405786,DigiRes,,3x3,Workshop
0-1701082406427,,,3x3,
0-1701082407181,,,3x3,
0-1701082416997,Lunch &amp; Learn,,3x3,Event
0-1701082421677,"Training: For new tools, there is training, e.g. for COSMOS",,3x3,Training
0-1701082422432,,,3x3,
0-1701082423344,,,3x3,
0-1701082424175,Not as a department.Some colleagues have more expertise or passion and act as multipliers,,3x3,Workplace dynamics
0-1701082425446,"Created more work, e.g. COSMOS",,3x3,Workshop feedback
0-1701082426179,"Single ended initiatives, so tools are not connected -&gt; 2 or 3 times entry oof data!",,3x3,Operations Management
0-1701082428291,Dev process OPEA should be mapped. Digital Initiatives should be in line with this process. E.g. then digital initiatives would know when and where procurement is invoolved,,3x3,Operations Management
0-1701082430554,Roadmap does not mirror core business ,,3x3,Strategy
0-1701082431499,Fragmented.Hard to follow what is actually behind it,,3x3,Feedback
0-1701082434561,Different aspects contributing to overall picture,,3x3,Workshop notes
0-1701082436570,Provide requirements for ProcuFy tool because this will impact the way of working of every procurement person,,3x3,Workshop Note
0-1701082440052,No definition of throughput - we'll take whatever comes in the DMF,,3x3,Operations Management
0-1701082442304,"site, turbines, BOP: Direct requirements on site",,3x3,Operations Management
0-1701085648151,"Procurement brings in requiremeents for GreenOS, DigiRES, COSMOS. So collaboration is good",,3x3,Workshop notes
1-1701085648151,Very different maturities within teams - trainings to get everyone up to speed,,3x3,Training
2-1701085648151,People being hired within business with ITOT background - tech relevance is understood in business ,,3x3,Workshop discussion prompt
0-1701085660162,Communication: Depends on the people.,,3x3,Workshop
0-1701085675341,There will be 2 extra FTEs on improvement projects. Experts and interfaces for digital roadmap: This is what and how we want to improve,,3x3,Workshop agenda
1-1701085675341,Tobias Winnemöller,,3x3,Name
0-1701086511796,Not aware of one overall dig. roadmap,,3x3,Operations Management
0-1701086520287,"there was a lot of pushback on ""old"" / outdated procurement processes.--&gt; ProcuFy tool (Simplify + standardize sourcing prodcess, new tool rollout) wants to change that. Lots of requirements are already in there.Driven by central procurement organization: Constanze DeRouck",,3x3,Workshop notes
0-1701086677657,"Questionnaire was not clear if the EXISTING ""roadmap"" should be covered or if we want to be broader",,3x3,Workshop Note
0-1701087107858,Involved in all dig. initiatives - Business Demand/Cloudification,,3x3,Workshop agenda
0-1701087943161,,,3x3,
0-1701087972452,"very basic, not enough",,3x3,Feedback
0-1701087976190,"Resources, dilemma, see above",,3x3,Workshop prompt
0-1701087978760,Same/shared understanding of roles,,3x3,Workshop feedback
0-1701091421677,Not that much: We are part of the GreenOS tool. ,,3x3,Technology
1-1701091421677,Digital tool landscape is usually managed by global hub (Michael Veeser),,3x3,Workshop Note
2-1701091421677,,,3x3,
3-1701091421677,Process via DMF,,3x3,Operations Management
0-1701091630186,Transform to a digital company is not only a collection of digital initiatives but needs to tie into processes,,3x3,Business Operations
2-1701091630186,Transaction efficiency should be improved,,3x3,Operations Management
0-1701099516774,If PO would do what they are required to no need for Sol Manager,,3x3,Workplace Feedback
0-1701102146910,"There is a Legal operations team under Nina Schrammel (hub within Offshore). There, all the digital topics are managed --&gt; Colleague Pablo: Sharpoint structure for Legal",,3x3,Meeting Notes
10-1701102146910,"Not sure how much interaction there is between Nina and IT. With Christian Kuhn, it is more ad-hoc/as-needed on initiative-basis",,3x3,Workplace communication
101-1701102146910,"Compliance team maybe, not sure which role compliance - specific tools are relevant",,3x3,Workshop notes
102-1701102146910,Nina Schrammel,,3x3,Name
103-1701102146910,"transactions team (Tiffany) e.g. for M&amp;A.They want market data bases, e.g. whic prices have been paid for certain projects",,3x3,Meeting Notes
109-1701102146910,"also involved in Accelerate, integration of legal entities etc. ",,3x3,Operations Manager
110-1701102146910,"Lots of templates, are filled out individually, collected and consolidated",,3x3,Operations Management
111-1701102146910,"Christian is part of the Copilot test. Finds it useful, but needs to use it more",,3x3,Feedback
119-1701102146910,"Currently no measurements on the impact, if/how the digitalization was successful",,3x3,Operations Management
120-1701102146910,Dig. Archive,,3x3,Organization
136-1701102146910,Markus Frowein (Group Data Protection): What are the AI tools that we need in our organization?,,3x3,Meeting agenda
140-1701102146910,"Not only project names or tool names, but also description , what it is, what it does, dependencies",,3x3,Instructions
17-1701102146910,"Important to be aware of: Contract ownership is de-central: Legal supports e.g. with templates, but contract owner is the respective team, department",,3x3,Workshop note
2-1701102146910,"Hard to make sure and verify if there have been any changes, eg. members of the board., extract informaiton from register etc. should be automated in the future",,3x3,Operations Management
21-1701102146910,We are thinking about the next steps: How to automate processes for legal? ,,3x3,Workshop agenda
22-1701102146910,,,3x3,
23-1701102146910,"Can give requirements from legal perspective, but need support by IT",,3x3,Workshop Note
24-1701102146910,"Understand contract texts and search for certain clauses. ""Change of control clauses"" in contracts (currently manual). E.g. applicable for Re-orgs: ""Show me where there are any change of control clauses.""",,3x3,Operations Management
28-1701102146910,There is currently no alignment regarding the activities in terms of overarching vision and longer-term roadmap,,3x3,Business Operations
3-1701102146910,"Yes, we are aligned on specific tools and initiatives",,3x3,Meeting Note
36-1701102146910,"Projects, legal entitiees, teams in the respective projects (3 dimensional). How to set up the structure?? Folder structure shoud fulfill all criteria so that all the criteria are easily findable",,3x3,Operations Management
37-1701102146910,Sharepoint (currently I:Drive),,3x3,Technology
38-1701102146910,Cosmos,,3x3,Poem
39-1701102146910,Land Lease Management,,3x3,Workshop agenda
4-1701102146910,"Expectations: Create transparency about the Verhältnisse der Gesellschaft, Obligations, Quality assurance, stay compliant, do we fulfill everything?: All the initiatives should pay into this ",,3x3,Workshop agenda
40-1701102146910,legal matter management,,3x3,Workshop agenda
41-1701102146910,"Change process acceptance depends. But especially regarding our growth trajectory, most colleagues are aware that we cannot just hire more legal experts, but need more tech support",,3x3,Workplace communication
44-1701102146910,,,3x3,
45-1701102146910,"There are training sessions on the specific tools, but not on change management overall/ big picture",,3x3,Training and Development
48-1701102146910,,,3x3,
49-1701102146910,Very heterogeneous,,3x3,Workshop notes
50-1701102146910,"Example: For COSMOS, top-down decision + announcement that COSMOS has to be used. This has been widely accepted",,3x3,Meeting Notes
51-1701102146910,More generally: We need to zoom out and explore which use-cases are relevant,,3x3,Workshop
52-1701102146910,"Please talk to Nina Schrammel, she can give more info on Digital initiatives, roadmap ",,3x3,Meeting agenda
53-1701102146910,We are still looking for the small autmations,,3x3,Operations Management
54-1701102146910,was involved in Corporate and Capital Market Law,,3x3,Legal
55-1701102146910,has accompanied the reintegration of renewables into RWE org.,,3x3,Work-related task
57-1701102146910,"Example processes: Determination of annual financial statementsetc., Auditing etc.",,3x3,Workshop agenda
58-1701102146910,"Some colleagues hard to convince about new tools, processes, tech, some colleagues are more open",,3x3,Workplace dynamics
59-1701102146910,No training on how a legal department in times of Digital transformation will look like (change management),,3x3,Workshop agenda
6-1701102146910,Roadmap: Still careful from legal side,,3x3,Reminder
60-1701102146910,"Land Lease Management (LLM), which will be used by Construction and Dev",,3x3,Work-related task
61-1701102146910,,,3x3,
62-1701102146910,Legal Matter Management (on COSMOS Basis) with Oultook plugin in order to archive contract drafts,,3x3,Technology
63-1701102146910,"When Developers work more and more digitally, the processes need to accomodate for that and Legal needs to stay informed",,3x3,Workshop discussion
64-1701102146910,We need a one-pager of every initiative (Nina Schrammel). We need the same from other initiatives outside of legal so  that they know if and how they need to be involved from legal perspective. This would increase transparency.,,3x3,Workshop agenda
65-1701102146910,"Ensure quality of tools, very important in the legal field ",,3x3,Workshop reminder
66-1701102146910,Scalability through digitalization in order to accomodate growth,,3x3,Business Strategy
69-1701102146910,Other than training on tools: Nothing much,,3x3,Workshop feedback
7-1701102146910,INTERACT: Digital Archive and LLM: we are shapers: Looking for the best fitting tool together with IT,,3x3,Meeting Agenda
70-1701102146910,Currently not many interfaces beween legal and other deparmtents on digital initiatives,,3x3,Workshop Note
75-1701102146910,none,,3x3,Uncategorized
76-1701102146910,"get acceptance, awareness, change management",,3x3,Workshop agenda
8-1701102146910,Works in RWE since 2009,,3x3,Work history
85-1701102146910,Nothing on data and analytics,,3x3,Data Analysis
86-1701102146910,legal tech/dig. Nina Schrammel,,3x3,Workshop agenda
87-1701102146910,Main inhibitor for digital initiatives: Not enogh resources!,,3x3,Operations Management
88-1701102146910,Current staff has already reached capacity limits,,3x3,Workforce Management
9-1701102146910,Digital Archive on COSMOS basis,,3x3,Technology
95-1701102146910,No,,3x3,Rejection
99-1701102146910,Ressources need to be assigned if top down decisions have been taken wrt dig. roadmaps,,3x3,Workshop notes
0-1701154973526,"since 2 years at RWE, based in Hamburg. Responsible for OPEA procurement",,3x3,Work experience
0-1701155555484,"2. Purchase to pay processes, e.g. SAP integration -&gt; Interface with SAP related initiatives",,3x3,Operations Management
0-1701155606194,Missing overview of what is planned (high leel) and then in detail (function specific),,3x3,Workshop agenda
0-1701155628585,"Lot of words, details in the specific projects, but no transparency on wider synergy effects or impact on other parts of the business (how is everything connected?)",,3x3,Feedback
0-1701155850284,"Data is not processed but stored. No way to examine if data (e.g. contract data) is connected elsewhere. Currently filling out lots of excel sheets manually, tediously.",,3x3,Operations Management
0-1701156207859,"If we turn into a digital company, we need additional skill sets",,3x3,Strategy
0-1701156225409,"Slim staff, huge growth path -&gt; Difficult to push digital initiatives when you are already drowning in daily business",,3x3,Workshop feedback
0-1701156311133,The way how the training is done is old-fashioned.E.g. new.-joiners have problems to on-board So you need video taping of the sessions,,3x3,Feedback
0-1701156362639,Cosmos,,3x3,Poem
0-1701156365641,Integrity Next (human rights related),,3x3,Workshop agenda
0-1701156371056,Replicon,,3x3,Workshop agenda
0-1701156439759,Need to understand the roadmap planning better to accomodate for resources: Allocate people to the projects ahead of time,,3x3,Operations Management
0-1701156441044,Roadmap should foster transparency on impact of work wrt overall picture,,3x3,Workshop feedback
0-1701156441991,"We need to redirect, if it bypasses process",,3x3,Workplace communication
0-1701156443052,A roadmap will not change bypassing and it will not always be visible to everyone but it will help educating/increasing transparency,,3x3,Workshop Note
0-1701156442807,All tools don´t have sufficient search capabilities ,,3x3,Workshop feedback
0-1701156750063,"we need perfomrance data of suppliers, currently only in excel. Extra effort by colleagues",,3x3,Operations Management
0-1701156812167,"Capabilities, skillsets",,3x3,Workshop agenda
0-1701158305229,Impacts deliverables of ITOT ,,3x3,Workshop agenda
0-1701158306273,Relevance of change management,,3x3,Workshop agenda
0-1701158307262,"Value Chain based, incl. strategy of each part of VC ",,3x3,Strategy
0-1701158308192,Andre Körner - draw a picture of dig. roadmap some time ago ,,3x3,Task List
0-1701158309048,"OFF: Forward together, OODE ~ dig. roadmap",,3x3,Workshop agenda
0-1701158309844,Non-existent as of now,,3x3,Uncategorized
0-1701158316574,Dig. Steercos until now - disaster,,3x3,Operations Management
0-1701158322852,PACE Steerco,,3x3,Meeting agenda
0-1701158324343,Ownership was unclear - BT makes sense,,3x3,Meeting notes
0-1701158325391,GreenOS sidelining the process,,3x3,Operations Management
0-1701158326575,Missing transparency,,3x3,Workshop feedback
0-1701158327851,Roadmap is a missing piece,,3x3,Workshop feedback
0-1701158330242,Roadmap is only helpful if products are being delivered ,,3x3,Workshop Note
0-1701158331285,Questionnaire: Uncertainty wrt ONE dig. roadmap,,3x3,Workshop agenda
0-1701158342504,Keep up with frequent changes,,3x3,Workshop reminder
0-1701158343972,Enterprise Skill Initiatives (MSFT),,3x3,Meeting agenda
0-1701158346826,see Dig. Solutions confluence,,3x3,Meeting reminder
0-1701158355896,"Agile Framework (PO, Sol Manager (Proxy PO))",,3x3,Workshop agenda
0-1701158364610,No proper guidance on data,,3x3,Workshop feedback
0-1701158365797,Data quality is insufficient,,3x3,Data Analysis
0-1701158366636,"Highly complex projects, different data streams due to historic processes/assets",,3x3,Operations Management
0-1701158367896,"not enough, but ok for now",,3x3,Inventory
0-1701158368688,5-10% of e.g. turbine sensors are not being used in follow-up processes,,3x3,Operations Management
0-1701158371843,Capacity,,3x3,Workshop agenda
0-1701158373624,Data Stream Norway (data quality is not good) - trading will stop interday trading due to not knowing how we perform -&gt; everyone should have visibility of why their work has an impact ,,3x3,Operations Management
0-1701158376102,Oliver Constanso,,3x3,Name
0-1701168400647,There is currently no alignment regarding the activities in terms of overarching vision and longer-term roadmap,,3x3,Strategy
1-1701168400647,"Yes, we are aligned on specific tools and initiatives",,3x3,Meeting Note
0-1701168571038,We need to be able to zoom out and see how individual initiatives tie into the overall roadmap and how they are connected,,3x3,Strategy
0-1701168606162,"Individual Dig. initiatives are not connected, thus often causing double work, inefficiencies ",,3x3,Operations Management
0-1701174182227,Big picture is missing to which individual initiatives have to align ,,3x3,Strategy
0-1701174227056,"Data only stored, not analyzed and processed",,3x3,Data Analysis
0-1701244513078,Frustrating as impact of digital tools and lack of availability in OPS is critical,,3x3,Operations Management
1-1701244513078,Prioritisation on impact and urgency,,3x3,Workshop agenda
10-1701244513078,OPS Manager POs for dig. tools ,,3x3,Work-related tasks
11-1701244513078,Increased sharepoint usage,,3x3,Technology
2-1701244513078,Steercos: PACE; Holistic IIOT,,3x3,Workshop agenda
3-1701244513078,Tobias highly connected with ITOT,,3x3,Workshop Note
4-1701244513078,Anything OPS-related ,,3x3,Workshop
5-1701244513078,Priyanka and Luljetta main interfaces to ITOT,,3x3,Workshop agenda
0-1701244519514,Roadmap: What are the data boxes to have information,,3x3,Workshop agenda
1-1701244519514,Delivery of OPS products on OPS landscape + CoPilot,,3x3,Operations Management
10-1701244519514,Business takes ownership from user-perspective,,3x3,Business Strategy
11-1701244519514,Tools should be interconnected; SAP at the core,,3x3,Operations Management
2-1701244519514,"Pre-COD is projects, after-COD asset technology",,3x3,Workshop notes
3-1701244519514,Sub-roadmaps for different parts of the value chain,,3x3,Business Strategy
4-1701244519514,Small product teams to develop products quickly,,3x3,Workshop agenda
5-1701244519514,OPS dig. landscape by Priyanka is basis for OPS (key) - need for delivery of products within,,3x3,Operations Management
9-1701244519514, Mixture of centralized specifications and flexibility: Rule: COSMOS needs to be used by everyone; adherence to rules how cosmos needs to be worked with,,3x3,Workshop instructions
10-1701244522633,Closely tied to Value Chain,,3x3,Operations Management
2-1701244522633,How to prep business for growing pipeline,,3x3,Business Strategy
3-1701244522633,Clear prioritization also wrt growth,,3x3,Strategy
4-1701244522633,"Visbility: Which dig. initiatives will be worked on/rolled out when, next steps and also planning in advance",,3x3,Meeting Agenda
5-1701244522633,Separate roadmap OPS + pipeline,,3x3,Operations Management
3-1701244525721,Connections of Tools is a key thing,,3x3,Workshop Note
5-1701244525721,"G2B, Cost modeling improvements, Access Manager, Connection of CHRONOS to Epilog + SAP, Inspection Tool, Docusign",,3x3,Workshop Agenda
3-1701244529102,Education + Upskilling needed to show people what dig. tools are/AI is,,3x3,Workshop agenda
5-1701244529102,With experts in digi area in control room ,,3x3,Workshop notes
0-1701244532561,Q: Do we need tools for everything or can we also adjust slightly going forward with additional code etc.,,3x3,Question
1-1701244532561,Data flow is lacking,,3x3,Operations Management
2-1701244532561,"Engineering Tools: Powerfactory, Wind + PV Syst, GIS-Tools, ",,3x3,List of engineering tools
3-1701244532561,everything is not interconnected but stand-alone solutions lacking interfaces,,3x3,Technology
4-1701244532561,"Very chaotic tool usage; lots of different tools for same purpose (double work, data inavailability, disconnect between data, ",,3x3,Operations Management
5-1701244532561,"COSMOS, GreenOS, DigiRES, Asset Mgmt Register, SAP",,3x3,Technology
0-1701244537322,OPS mainly focusing on dig. landscape for assets,,3x3,Operations Management
2-1701244537322,BP needs to see who is affected by change and reach out to departments,,3x3,Workshop feedback
3-1701244537322,GreenOS - hickups with Construction,,3x3,Workshop agenda
4-1701244537322,Comms is efficient within OPS; Tobias + Priyanka focal point of contact,,3x3,Operations Management
5-1701244537322,Collaboration with IT/OT,,3x3,Workshop agenda
2-1701244544306,Making usage of all data available,,3x3,Operations Management
3-1701244544306,TPA: Scada + Vibration data; Control Room: Realtime; ARLO: Historic data; ,,3x3,Operations Manager
5-1701244544306,Diego Pascal,,3x3,Name
0-1701244549349,Data owners are required,,3x3,Workshop agenda
1-1701244549349,"For tools, we need POs that work directly with the tool ",,3x3,Workshop Note
2-1701244549349,Data management is key,,3x3,Workshop reminder
3-1701244549349,Priyanka - counterpart OPS to Head of Data,,3x3,Contact Information
4-1701244549349,Dig. governance rather than dig. roadmap,,3x3,Workshop notes
5-1701244549349,We do not get tools + ressources needed,,3x3,Workshop feedback
6-1701244549349,Every OPS tool needs an OPS PO,,3x3,Workshop Note
10-1701244556394,Quality Audit Policy wrt Data,,3x3,Policy
2-1701244556394,"Who owns the data, who takes a librarian role",,3x3,Workshop agenda
3-1701244556394,"Do not centralize all creativity in order to ""kill"" it ",,3x3,Workshop advice
4-1701244556394,"Data quality, data transparency and data availability main topics",,3x3,Workshop agenda
5-1701244556394,Allow for flexibility within sub-departments,,3x3,Operations Management
5-1701244564905,Dirk Ehlert,,3x3,Music artist
0-1701252652614,"Data quality is a huge topic, next to toolings etc. ",,3x3,Workshop discussion
0-1701252653756,If data is not in SAP it does not help,,3x3,Operations Management
0-1701252655799,Especially wrt ressource assessment; data from turbines - lots of data analytics -&gt; Smart Data Pipeline,,3x3,Workshop Notes
0-1701252656804,OPS: TPA (turbine data -&gt; analyse where Engineering improvements need to be in place),,3x3,Operations Management
0-1701252668694,"Overall no communication E2E between depts (OPEA level), only on specific project-related level ",,3x3,Operations Management
0-1701252669980,individual lobbying based on MTP,,3x3,Workshop agenda
0-1701252673445,Involved in nearly all dig. initiatives as interfaces throughout whole Value Chain,,3x3,Operations Management
0-1701252675341,Efficiency wrt project flow along Value Chain,,3x3,Operations Management
0-1701252677202,Decrease silo-thinking as data should flow E2E -&gt; overall dig. roadmap required to address interconnectivity how projects and ITOT/tooling to support this,,3x3,Operations Management
0-1701252703523,2 central people to work directly on dig. roadmap topics/initiatives,,3x3,Work tasks
0-1701252704453,"Dirk Ehlert, Florian (within Stefan Christ's Team) - take care of initiatives + scale to team (e.g. training, support)",,3x3,Workshop agenda
0-1701252708064,Thought-through E2E and fits together,,3x3,Operations Management
0-1701252709194,Smart Data Pipeline: significant improvements in efficiency,,3x3,Technology
0-1701252718324,"chaotic, whoever shouts the loudest will be included",,3x3,Workshop Instructions
